id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1285552192443887617,1285552192443887617,2020-07-21 14:28:21 ora legale Europa occidentale,2020-07-21,14:28:21,+0200,1170404948,adhorg,ADHO,,Today at virtual #DH2020:  https://t.co/1EDQdO8GN9,en,[],['https://twitter.com/CBardiot/status/1285546268564103172'],[],0,1,9,['dh2020'],[],https://twitter.com/ADHOrg/status/1285552192443887617,False,https://twitter.com/CBardiot/status/1285546268564103172,0,,,,,,,,[],,,,
1285281144028659713,1285281144028659713,2020-07-20 20:31:18 ora legale Europa occidentale,2020-07-20,20:31:18,+0200,1170404948,adhorg,ADHO,,New post: The Book of Abstracts is Live!  https://t.co/Ju942HZfYd,en,[],['https://dh2020.hcommons.org/2020/07/20/the-book-of-abstracts-is-live/'],[],2,28,33,[],[],https://twitter.com/ADHOrg/status/1285281144028659713,False,,0,,,,,,,,[],,,,
1285279336367624193,1285275448478511106,2020-07-20 20:24:07 ora legale Europa occidentale,2020-07-20,20:24:07,+0200,1170404948,adhorg,ADHO,,"@abbymullen Admittance is manual, so we're checking every couple of hours. You should have access now!",en,[],[],[],1,0,0,[],[],https://twitter.com/ADHOrg/status/1285279336367624193,False,,0,,,,,,,,"[{'screen_name': 'abbymullen', 'name': 'Abby Mullen', 'id': '247089092'}]",,,,
1285186213847150592,1285071945772535808,2020-07-20 14:14:05 ora legale Europa occidentale,2020-07-20,14:14:05,+0200,1170404948,adhorg,ADHO,,@cantavest You should have access now!,en,[],[],[],1,0,1,[],[],https://twitter.com/ADHOrg/status/1285186213847150592,False,,0,,,,,,,,"[{'screen_name': 'cantavest', 'name': 'Rosanna Cantavella', 'id': '233107654'}]",,,,
1285182700924669954,1285071945772535808,2020-07-20 14:00:08 ora legale Europa occidentale,2020-07-20,14:00:08,+0200,1170404948,adhorg,ADHO,,"@cantavest Hi, Rosanna. Thanks for reaching out! Presentations are asynchronous and posted in the DH2020 group. There are some synchronous events scheduled during the week. You can find these here:  https://t.co/jY0hVe3Gy8",en,[],['https://dh2020.hcommons.org/conference-events/'],[],1,0,2,[],[],https://twitter.com/ADHOrg/status/1285182700924669954,False,,0,,,,,,,,"[{'screen_name': 'cantavest', 'name': 'Rosanna Cantavella', 'id': '233107654'}]",,,,
1285171823278252032,1285171823278252032,2020-07-20 13:16:54 ora legale Europa occidentale,2020-07-20,13:16:54,+0200,1170404948,adhorg,ADHO,,In case you missed it #DH2020:  https://t.co/udkD3PI0kv,en,[],['https://twitter.com/dibsroy86/status/1284824119364612096'],[],0,4,9,['dh2020'],[],https://twitter.com/ADHOrg/status/1285171823278252032,False,https://twitter.com/dibsroy86/status/1284824119364612096,0,,,,,,,,[],,,,
1285073205368152064,1285073205368152064,2020-07-20 06:45:02 ora legale Europa occidentale,2020-07-20,06:45:02,+0200,1170404948,adhorg,ADHO,,"The first synchronous workshop of the week will be hosted by the Digital Literary Stylistics SIG: ""Tool Criticism 3.0. Present, past, &amp; future methods in Digital Literary Stylistics,"" at 13:00 UTC today (Monday, 20 July). Find out more:  https://t.co/hORnPgSplZ #DH2020",en,[],['https://dls.hypotheses.org/1110'],[],0,12,27,['dh2020'],[],https://twitter.com/ADHOrg/status/1285073205368152064,False,,0,,,,,,,,[],,,,
1285071945772535808,1285071945772535808,2020-07-20 06:40:02 ora legale Europa occidentale,2020-07-20,06:40:02,+0200,1170404948,adhorg,ADHO,,"As the conference unfolds this week, don't hesitate to reach out to us with questions @ADHOrg or via the ""Contact Us"" button on  https://t.co/hu5kbkT87c. #DH2020",en,"[{'screen_name': 'adhorg', 'name': 'adho', 'id': '1170404948'}]",['http://dh2020.hcommons.org'],[],2,2,10,['dh2020'],[],https://twitter.com/ADHOrg/status/1285071945772535808,False,,0,,,,,,,,[],,,,
1285070688223625216,1285070688223625216,2020-07-20 06:35:02 ora legale Europa occidentale,2020-07-20,06:35:02,+0200,1170404948,adhorg,ADHO,,And big big thank yous to the team that have put together virtual #DH2020 in just a few short months.  https://t.co/dkMe6rT9Pm,en,[],['https://dh2020.hcommons.org/welcome-to-the-conference/#recognition'],[],0,2,7,['dh2020'],[],https://twitter.com/ADHOrg/status/1285070688223625216,False,,0,,,,,,,,[],,,,
1285069447871569920,1285069447871569920,2020-07-20 06:30:06 ora legale Europa occidentale,2020-07-20,06:30:06,+0200,1170404948,adhorg,ADHO,,"A tremendous thank you to the Program Committee &amp; Local Organizers (especially @Laura_Estill, @jenguiliano, @CLKCrompton, Sarah Simpkin, Kevin Kee, Brian Greenspan, @electricarchaeo, &amp; May Ning) who put so much time, energy, expertise, &amp; care into planning @DH2020_Ottawa. #DH2020",en,"[{'screen_name': 'laura_estill', 'name': 'dr. laura estill', 'id': '599546734'}, {'screen_name': 'jenguiliano', 'name': 'dr. jennifer guiliano', 'id': '35804229'}, {'screen_name': 'clkcrompton', 'name': 'constance crompton (she/elle)', 'id': '164700688'}, {'screen_name': 'electricarchaeo', 'name': 'shawn graham', 'id': '104894644'}, {'screen_name': 'dh2020_ottawa', 'name': 'dh2020@ottawa', 'id': '1144313728357326849'}]",[],[],0,6,22,['dh2020'],[],https://twitter.com/ADHOrg/status/1285069447871569920,False,,0,,,,,,,,[],,,,
1285068173759385601,1285068173759385601,2020-07-20 06:25:02 ora legale Europa occidentale,2020-07-20,06:25:02,+0200,1170404948,adhorg,ADHO,,We'd like to thank @GaleEMEA for ensuring that everyone can participate in virtual #DH2020 without direct cost.,en,"[{'screen_name': 'galeemea', 'name': 'galeemea', 'id': '229059335'}]",[],[],0,5,13,['dh2020'],[],https://twitter.com/ADHOrg/status/1285068173759385601,False,,0,,,,,,,,[],,,,
1285066913459187712,1285066913459187712,2020-07-20 06:20:02 ora legale Europa occidentale,2020-07-20,06:20:02,+0200,1170404948,adhorg,ADHO,,Everyone participating in the conference must abide by the Code of Conduct:  https://t.co/6lgHN6zipr #DH2020,en,[],['https://dh2020.hcommons.org/conference-code-of-conduct/'],[],0,2,3,['dh2020'],[],https://twitter.com/ADHOrg/status/1285066913459187712,False,,0,,,,,,,,[],,,,
1285065662650617857,1285065662650617857,2020-07-20 06:15:03 ora legale Europa occidentale,2020-07-20,06:15:03,+0200,1170404948,adhorg,ADHO,,There will be some synchronous events throughout the week. The schedule and details for each can be found here:  https://t.co/jY0hVe3Gy8 #DH2020,en,[],['https://dh2020.hcommons.org/conference-events/'],[],0,4,6,['dh2020'],[],https://twitter.com/ADHOrg/status/1285065662650617857,False,,0,,,,,,,,[],,,,
1285064399338840064,1285064399338840064,2020-07-20 06:10:02 ora legale Europa occidentale,2020-07-20,06:10:02,+0200,1170404948,adhorg,ADHO,,Here's how you can respond to presentations:  https://t.co/0zgoJ3eXTz #DH2020,en,[],['https://dh2020.hcommons.org/how-to-view-and-respond-to-a-presentation-in-discussions/'],[],0,6,9,['dh2020'],[],https://twitter.com/ADHOrg/status/1285064399338840064,False,,0,,,,,,,,[],,,,
