,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,is_retweet,retweeted,mentioned
336,1227328899840868355,1227328899840868355,2020-02-11 21:29:47 ora solare Europa occidentale,2020-02-11,21:29:47,200,1170404948,adhorg,ADHO,,Please help us spread the word!  @eadh_org @achdotorg  @csdhschn @HumanisticaDH @DigitalHumASA @DHcenterNet @Red_HD @aaDHumanities @LibsDH @CLARIAH_NL @DARIAHeu @DHBenelux @DHandLib,en,"[{'screen_name': 'eadh_org', 'name': 'eadh', 'id': '434968866'}, {'screen_name': 'achdotorg', 'name': 'ach', 'id': '2361372560'}, {'screen_name': 'csdhschn', 'name': 'csdh-schn', 'id': '3436070188'}, {'screen_name': 'humanisticadh', 'name': 'humanistica', 'id': '2543312586'}, {'screen_name': 'digitalhumasa', 'name': 'dhasa', 'id': '735929506897235968'}, {'screen_name': 'dhcenternet', 'name': 'centernet', 'id': '173915441'}, {'screen_name': 'red_hd', 'name': 'red hd', 'id': '331064775'}, {'screen_name': 'aadhumanities', 'name': 'aadh', 'id': '4327889474'}, {'screen_name': 'libsdh', 'name': 'adho lib & dh sig', 'id': '3260593633'}, {'screen_name': 'clariah_nl', 'name': 'clariah', 'id': '1570339038'}, {'screen_name': 'dariaheu', 'name': 'dariah-eu', 'id': '733092900'}, {'screen_name': 'dhbenelux', 'name': 'dh benelux', 'id': '2467549980'}, {'screen_name': 'dhandlib', 'name': 'dh+lib', 'id': '920050484'}]",[],[],0,5,6,[],[],https://twitter.com/ADHOrg/status/1227328899840868355,False,https://twitter.com/ADHOrg/status/1227326285388615680,0,,,,,,,,[],,,,,False,[],"['@eadh_org', '@achdotorg', '@csdhschn', '@HumanisticaDH', '@DigitalHumASA', '@DHcenterNet', '@Red_HD', '@aaDHumanities', '@LibsDH', '@CLARIAH_NL', '@DARIAHeu', '@DHBenelux', '@DHandLib']"
337,1227326285388615680,1227326285388615680,2020-02-11 21:19:23 ora solare Europa occidentale,2020-02-11,21:19:23,200,1170404948,adhorg,ADHO,,ADHO is seeking nominations for   • Deputy Treasurer • Communications Officer • Infrastructure Committee Chair  Help us expand digital humanities work across the globe! Nominations due by 1 March 2020.    https://t.co/pyMHOTqMwP,en,[],['http://adho.org/announcements/2020/join-adho-executive-board-and-committees'],[],0,12,9,[],[],https://twitter.com/ADHOrg/status/1227326285388615680,False,,0,,,,,,,,[],,,,,False,[],[]
338,1224616582447415296,1224616582447415296,2020-02-04 09:52:00 ora solare Europa occidentale,2020-02-04,09:52:00,200,1170404948,adhorg,ADHO,,"We are pleased to announce the call for hosts for the 2023 Digital Humanities Conference. The call is open, meaning any academic institution in the world can propose hosting the conference.   https://t.co/eack5AxmGP  Image, CC-BY-ND,  https://t.co/zOjYLpsiCB  https://t.co/MWuKd6qeIl",en,[],"['http://adho.org/announcements/2020/call-hosts-dh2023', 'http://flic.kr/p/2r2Pps']",['https://pbs.twimg.com/media/EP3p7Y-U4AAcgcT.jpg'],1,12,13,[],[],https://twitter.com/ADHOrg/status/1224616582447415296,False,,1,https://pbs.twimg.com/media/EP3p7Y-U4AAcgcT.jpg,,,,,,,[],,,,,False,[],[]
339,1224390684917911552,1224390684917911552,2020-02-03 18:54:22 ora solare Europa occidentale,2020-02-03,18:54:22,200,1170404948,adhorg,ADHO,,"We are pleased to announce the call for hosts for the 2023 Digital Humanities Conference. The call is open, meaning any academic institution in the world can propose hosting the conference.   https://t.co/eack5AxmGP  Image, CC-BY-ND,  https://t.co/zUy0WxUaHm  https://t.co/8pMdCgG8mi",en,[],"['http://adho.org/announcements/2020/call-hosts-dh2023', 'https://flic.kr/p/2r2Pps']",['https://pbs.twimg.com/media/EP3oxViVAAEuA0Z.jpg'],0,20,16,[],[],https://twitter.com/ADHOrg/status/1224390684917911552,False,,1,https://pbs.twimg.com/media/EP3oxViVAAEuA0Z.jpg,,,,,,,[],,,,,False,[],[]
340,1216769690929790983,1216769690929790983,2020-01-13 18:11:15 ora solare Europa occidentale,2020-01-13,18:11:15,200,1170404948,adhorg,ADHO,,"Digital Humanities Congress 2020 will happen at University of Sheffield, 10th – 12th September 2020. Find the call for papers at  https://t.co/F7dEEGRvSE. Proposals due on 29 February 2020.",en,[],['https://www.dhi.ac.uk/dhc2020/'],[],0,16,15,[],[],https://twitter.com/ADHOrg/status/1216769690929790983,False,,0,,,,,,,,[],,,,,False,[],[]
341,1409789232130846720,1409789232130846720,2021-06-29 10:22:00 ora legale Europa occidentale,2021-06-29,10:22:00,200,1170404948,adhorg,ADHO,,#CFP: Edited volume on #MultilingualDH. Chapter abstracts due 6 September 2021:  https://t.co/sgDcoqOUVm  #HumanidadesDigitales #HumanitésNumérique #UmanisticaInformatica #HumanidadesDigitais #DigitaleGeisteswissenschaften #DigitalHumanities #DH,en,[],['https://www.c2dh.uni.lu/news/cfp-chapters-solicited-edited-volume-multilingual-dh'],[],0,7,4,"['#CFP', '#MultilingualDH', '#HumanidadesDigitales', '#Humanit', '#UmanisticaInformatica', '#HumanidadesDigitais', '#DigitaleGeisteswissenschaften', '#DigitalHumanities', '#DH']",[],https://twitter.com/ADHOrg/status/1409789232130846720,False,,0,,,,,,,,[],,,,,False,[],[]
342,1409547640543514629,1409547640543514629,2021-06-28 18:22:00 ora legale Europa occidentale,2021-06-28,18:22:00,200,1170404948,adhorg,ADHO,,Have you seen the #ACH2021 schedule? #DH2021 #DigitalHumanities #DH,en,[],[],[],0,5,5,"['#ACH2021', '#DH2021', '#DigitalHumanities', '#DH']",[],https://twitter.com/ADHOrg/status/1409547640543514629,False,https://twitter.com/achdotorg/status/1405566828169072642,0,,,,,,,,[],,,,,False,[],[]
343,1409441188944490496,1409441188944490496,2021-06-28 11:19:00 ora legale Europa occidentale,2021-06-28,11:19:00,200,1170404948,adhorg,ADHO,,#CFP #AIUCD2022 #InformaticaUmanistica,und,[],[],[],0,4,1,"['#CFP', '#AIUCD2022', '#InformaticaUmanistica']",[],https://twitter.com/ADHOrg/status/1409441188944490496,False,https://twitter.com/AIUCD/status/1407375655197712388,0,,,,,,,,[],,,,,False,[],[]
344,1408413920000237571,1408413920000237571,2021-06-25 15:17:00 ora legale Europa occidentale,2021-06-25,15:17:00,200,1170404948,adhorg,ADHO,,.@TEIconsortium seeks new board &amp; council members: . . . #HumanitésNumérique #HumanidadesDigitales #DigitalHumanities #TEI,en,"[{'screen_name': 'teiconsortium', 'name': 'tei consortium', 'id': '167142337'}]",[],[],0,4,1,"['#Humanit', '#HumanidadesDigitales', '#DigitalHumanities', '#TEI']",[],https://twitter.com/ADHOrg/status/1408413920000237571,False,https://twitter.com/TEIconsortium/status/1406991557127987205,0,,,,,,,,[],,,,,False,[],['@TEIconsortium']
345,1408020578250940417,1408020578250940417,2021-06-24 13:14:00 ora legale Europa occidentale,2021-06-24,13:14:00,200,1170404948,adhorg,ADHO,,#DHOx2021 is fully booked! Follow @dhoxss &amp; sign up for their newsletter at  https://t.co/djx4AQyYTn to learn about #DHOx2022,en,"[{'screen_name': 'dhoxss', 'name': 'dh ox summer school', 'id': '516953148'}]",['http://dhoxss.net'],[],0,5,6,"['#DHOx2021', '#DHOx2022']",[],https://twitter.com/ADHOrg/status/1408020578250940417,False,https://twitter.com/dhoxss/status/1407272736666365956,0,,,,,,,,[],,,,,False,[],['@dhoxss']
